gene_name_1,gene_name_2,co_occurrence
FOXO1,FOXO1,60
FOXO1,MTORC1,6
FOXO1,ATG14,4
FOXO1,ETOH,34
FOXO1,LC3B,8
FOXO1,SQSTM1,4
FOXO1,AMPK,46
FOXO1,BECN1,2
FOXO1,ATG7,2
FOXO1,PIK3C3,8
MTORC1,MTORC1,28
MTORC1,ETOH,12
MTORC1,AMPK,24
MTORC1,BECN1,2
MTORC1,PIK3C3,2
ATG14,ATG14,76
ATG14,ETOH,26
ATG14,AMBRA1,24
ATG14,AMPK,12
ATG14,BECN1,42
ATG14,PIK3C3,54
ETOH,ETOH,282
ETOH,LC3B,48
ETOH,AMBRA1,6
ETOH,SQSTM1,34
ETOH,AMPK,98
ETOH,BECN1,78
ETOH,ATG7,24
ETOH,PIK3C3,76
LC3B,LC3B,70
LC3B,SQSTM1,30
LC3B,AMPK,12
LC3B,BECN1,16
LC3B,ATG7,24
LC3B,PIK3C3,8
AMBRA1,AMBRA1,40
AMBRA1,AMPK,8
AMBRA1,BECN1,18
AMBRA1,PIK3C3,16
SQSTM1,SQSTM1,46
SQSTM1,AMPK,6
SQSTM1,BECN1,10
SQSTM1,ATG7,18
SQSTM1,PIK3C3,6
AMPK,AMPK,226
AMPK,BECN1,40
AMPK,ATG7,2
AMPK,PIK3C3,66
BECN1,BECN1,170
BECN1,ATG7,10
BECN1,PIK3C3,96
ATG7,ATG7,30
ATG7,PIK3C3,6
PIK3C3,PIK3C3,228
