gene_name_1,gene_name_2,co_occurrence
PIK3C3,PIK3C3,1532
PIK3C3,AMBRA1,210
PIK3C3,LC3B,194
PIK3C3,BECN1,862
PIK3C3,ETOH,960
PIK3C3,FOXO1,152
PIK3C3,AMPK,678
PIK3C3,ATG14,494
PIK3C3,SQSTM1,144
PIK3C3,MTORC1,114
PIK3C3,ATG7,112
AMBRA1,AMBRA1,280
AMBRA1,LC3B,50
AMBRA1,BECN1,188
AMBRA1,ETOH,148
AMBRA1,FOXO1,26
AMBRA1,AMPK,152
AMBRA1,ATG14,208
AMBRA1,SQSTM1,46
AMBRA1,MTORC1,10
AMBRA1,ATG7,36
LC3B,LC3B,474
LC3B,BECN1,198
LC3B,ETOH,464
LC3B,FOXO1,160
LC3B,AMPK,268
LC3B,ATG14,74
LC3B,SQSTM1,212
LC3B,MTORC1,50
LC3B,ATG7,192
BECN1,BECN1,1160
BECN1,ETOH,802
BECN1,FOXO1,94
BECN1,AMPK,522
BECN1,ATG14,352
BECN1,SQSTM1,146
BECN1,MTORC1,64
BECN1,ATG7,116
ETOH,ETOH,1948
ETOH,FOXO1,336
ETOH,AMPK,1002
ETOH,ATG14,338
ETOH,SQSTM1,272
ETOH,MTORC1,132
ETOH,ATG7,194
FOXO1,FOXO1,390
FOXO1,AMPK,324
FOXO1,ATG14,66
FOXO1,SQSTM1,138
FOXO1,MTORC1,88
FOXO1,ATG7,54
AMPK,AMPK,1534
AMPK,ATG14,288
AMPK,SQSTM1,232
AMPK,MTORC1,180
AMPK,ATG7,104
ATG14,ATG14,520
ATG14,SQSTM1,60
ATG14,MTORC1,34
ATG14,ATG7,42
SQSTM1,SQSTM1,306
SQSTM1,MTORC1,54
SQSTM1,ATG7,124
MTORC1,MTORC1,180
MTORC1,ATG7,24
ATG7,ATG7,198
