gene_name_1,gene_name_2,co_occurrence
RAB3D,RAB3D,246
RAB3D,SYX,218
RAB3D,F-ACTIN,74
RAB3D,PSMAD,30
RAB3D,SIRT,48
RAB3D,NOGGIN,212
RAB3D,RHOA,94
RAB3D,BMP,28
RAB3D,RHPN,18
SYX,SYX,3068
SYX,F-ACTIN,84
SYX,PSMAD,112
SYX,SIRT,204
SYX,NOGGIN,820
SYX,RARY,14
SYX,RHOA,916
SYX,BMP,270
SYX,RHPN,120
F-ACTIN,F-ACTIN,84
F-ACTIN,PSMAD,6
F-ACTIN,SIRT,10
F-ACTIN,NOGGIN,72
F-ACTIN,RHOA,34
PSMAD,PSMAD,112
PSMAD,SIRT,30
PSMAD,NOGGIN,54
PSMAD,RHOA,66
PSMAD,BMP,26
PSMAD,RHPN,28
SIRT,SIRT,348
SIRT,NOGGIN,120
SIRT,RHOA,156
SIRT,BMP,30
SIRT,RHPN,32
NOGGIN,NOGGIN,1224
NOGGIN,RHOA,458
NOGGIN,BMP,262
NOGGIN,RHPN,152
RARY,RARY,14
RARY,RHOA,4
RHOA,RHOA,1308
RHOA,BMP,110
RHOA,RHPN,124
BMP,BMP,634
BMP,RHPN,36
RHPN,RHPN,224
