gene_name_1,gene_name_2,co_occurrence
HRAS,HRAS,4
HRAS,PTEN,2
HRAS,FGFR3,4
HRAS,ITGB5,2
HRAS,COL4A5,2
HRAS,CDH1,2
HRAS,CALM1,2
HRAS,FGFR2,2
HRAS,FGFR4,4
HRAS,GRB2,2
HRAS,RAP1A,2
HRAS,KDR,4
HRAS,SGK1,2
HRAS,TSC2,2
HRAS,LAMA2,2
HRAS,AKT1,4
PTEN,PTEN,2
PTEN,FGFR3,2
PTEN,ITGB5,2
PTEN,COL4A5,2
PTEN,CDH1,2
PTEN,CALM1,2
PTEN,FGFR2,2
PTEN,FGFR4,2
PTEN,GRB2,2
PTEN,RAP1A,2
PTEN,KDR,2
PTEN,SGK1,2
PTEN,TSC2,2
PTEN,LAMA2,2
PTEN,AKT1,2
FGFR3,FGFR3,4
FGFR3,ITGB5,2
FGFR3,COL4A5,2
FGFR3,CDH1,2
FGFR3,CALM1,2
FGFR3,FGFR2,2
FGFR3,FGFR4,4
FGFR3,GRB2,2
FGFR3,RAP1A,2
FGFR3,KDR,4
FGFR3,SGK1,2
FGFR3,TSC2,2
FGFR3,LAMA2,2
FGFR3,AKT1,4
ITGB5,ITGB5,2
ITGB5,COL4A5,2
ITGB5,CDH1,2
ITGB5,CALM1,2
ITGB5,FGFR2,2
ITGB5,FGFR4,2
ITGB5,GRB2,2
ITGB5,RAP1A,2
ITGB5,KDR,2
ITGB5,SGK1,2
ITGB5,TSC2,2
ITGB5,LAMA2,2
ITGB5,AKT1,2
COL4A5,COL4A5,2
COL4A5,CDH1,2
COL4A5,CALM1,2
COL4A5,FGFR2,2
COL4A5,FGFR4,2
COL4A5,GRB2,2
COL4A5,RAP1A,2
COL4A5,KDR,2
COL4A5,SGK1,2
COL4A5,TSC2,2
COL4A5,LAMA2,2
COL4A5,AKT1,2
CDH1,CDH1,2
CDH1,CALM1,2
CDH1,FGFR2,2
CDH1,FGFR4,2
CDH1,GRB2,2
CDH1,RAP1A,2
CDH1,KDR,2
CDH1,SGK1,2
CDH1,TSC2,2
CDH1,LAMA2,2
CDH1,AKT1,2
CALM1,CALM1,2
CALM1,FGFR2,2
CALM1,FGFR4,2
CALM1,GRB2,2
CALM1,RAP1A,2
CALM1,KDR,2
CALM1,SGK1,2
CALM1,TSC2,2
CALM1,LAMA2,2
CALM1,AKT1,2
FGFR2,FGFR2,2
FGFR2,FGFR4,2
FGFR2,GRB2,2
FGFR2,RAP1A,2
FGFR2,KDR,2
FGFR2,SGK1,2
FGFR2,TSC2,2
FGFR2,LAMA2,2
FGFR2,AKT1,2
FGFR4,FGFR4,4
FGFR4,GRB2,2
FGFR4,RAP1A,2
FGFR4,KDR,4
FGFR4,SGK1,2
FGFR4,TSC2,2
FGFR4,LAMA2,2
FGFR4,AKT1,4
GRB2,GRB2,2
GRB2,RAP1A,2
GRB2,KDR,2
GRB2,SGK1,2
GRB2,TSC2,2
GRB2,LAMA2,2
GRB2,AKT1,2
RAP1A,RAP1A,2
RAP1A,KDR,2
RAP1A,SGK1,2
RAP1A,TSC2,2
RAP1A,LAMA2,2
RAP1A,AKT1,2
KDR,KDR,4
KDR,SGK1,2
KDR,TSC2,2
KDR,LAMA2,2
KDR,AKT1,4
SGK1,SGK1,2
SGK1,TSC2,2
SGK1,LAMA2,2
SGK1,AKT1,2
TSC2,TSC2,2
TSC2,LAMA2,2
TSC2,AKT1,2
LAMA2,LAMA2,2
LAMA2,AKT1,2
AKT1,AKT1,4
